21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/UniGB-UTF16-H
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/Adobe-GB1-1
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBT-EUC-H
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBK-EUC-V
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/Adobe-GB1-H-Host
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/Adobe-GB1-0
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBpc-EUC-V
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBK-EUC-UCS2
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBTpc-EUC-H
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/Adobe-GB1-3
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBT-EUC-V
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBKp-EUC-V
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GB-EUC-H
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/UniGB-UTF8-V
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBT-V
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/UniGB-UTF16-V
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/UniGB-UCS2-V
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/Adobe-GB1-UCS2
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBpc-EUC-UCS2C
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/Adobe-GB1-2
21 Oct 2018 14:58:39,440 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBKp-EUC-H
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/Adobe-GB1-5
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/UniGB-UTF32-V
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBpc-EUC-H
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GB-H
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBTpc-EUC-V
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GB-V
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/GBK2K-H
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-gb1/Adobe-GB1-H-CID
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan2/Adobe-Japan2-0
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS-UCS2-H
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/H
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS2004-UTF8-V
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS-UCS2-V
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-H-Mac
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/V
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-H-CID
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/EUC-V
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniHojo-UTF16-V
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS-UTF8-H
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-0
21 Oct 2018 14:58:39,441 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-90pv-RKSJ
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniHojo-UTF16-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-3
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Ext-RKSJ-V
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS-UTF32-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/RKSJ-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/RKSJ-V
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Add-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/90pv-RKSJ-UCS2C
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJISX02132004-UTF32-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniHojo-UCS2-V
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJISX0213-UTF32-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniHojo-UCS2-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-1
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS-UTF8-V
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Hankaku
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Roman
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-2
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJISX0213-UTF32-V
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UCS2-90pv-RKSJ
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Ext-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Add-RKSJ-V
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/NWP-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJISPro-UCS2-V
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJISPro-UTF8-V
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-UCS2
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS2004-UTF8-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-6
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS-UCS2-HW-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniHojo-UTF8-H
21 Oct 2018 14:58:39,442 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS2004-UTF32-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/78ms-RKSJ-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Hojo-EUC-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Hojo-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS2004-UTF16-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Hojo-EUC-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/78-RKSJ-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/EUC-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Katakana
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Ext-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/78-EUC-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-90ms-RKSJ
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniHojo-UTF32-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS-UTF32-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/WP-Symbol
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS-UCS2-HW-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/90pv-RKSJ-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/NWP-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/90ms-RKSJ-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS2004-UTF32-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/90msp-RKSJ-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Hojo-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/78ms-RKSJ-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/78-EUC-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-H-Host
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/90msp-RKSJ-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/90pv-RKSJ-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniHojo-UTF8-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Hiragana
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS-UTF16-V
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/78-H
21 Oct 2018 14:58:39,443 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-PS-H
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/90pv-RKSJ-UCS2
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-4
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/78-RKSJ-V
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-5
